id	name	position	teams	toi	xgoalsfor	xgoalsagainst	fenwickfor	fenwickagainst	ofaceoffs	nfaceoffs	dfaceoffs	attempts	shots	goals	xgoals	shotsx
8470302	Patrick Dwyer 	Right Wing	CAR	290495	175.330048842	204.142147632	2949	3291	1165	1633	1421	754	534	34	54.4985005241	50.2618593704
8470301	Andre Deveaux 	Center	NYR,TOR	12394	5.38946031593	7.35273919255	101	134	59	63	51	23	18	0	1.69445985928	1.85040508956
8475184	Chris Kreider 	Center	NYR	151549	101.58448212	93.0944995871	1526	1441	742	775	581	454	322	38	40.0677689742	37.8312796019
8476206	Andy Miele 	Center	PHX	8218	3.6230258448	7.55986434966	79	111	45	32	20	12	9	0	0.809805454686	0.660946292803
8476207	Brian Gibbons 	Center	CBJ,PIT	45769	25.1980456002	21.2998895394	430	410	204	275	188	65	47	5	5.05953882821	5.01743296348
8476208	Matt Campanale 	Defense	NYI	501	0.0993934301659	0.649347008206	3	11	2	2	2	0	0	0	0	0
8474557	Anssi Salmela 	Defense	N.J,ATL	104165	52.0419604992	60.5974251432	949	1003	433	449	320	170	123	2	4.61791962851	4.68062766176
8474554	Eric Selleck 	Left Wing	FLA	950	0.746622743085	0.68874570448	10	11	10	3	3	3	2	0	0.247464321554	0.270317085087
8474552	Fabian Brunnstrom 	Left Wing	DET,DAL	69209	32.3334558578	35.148478156	596	644	272	313	182	169	122	19	14.0018127132	13.769598078
8474551	Ville Leino 	Left Wing	BUF,PHI,DET	256203	145.460417498	144.924085184	2452	2449	1028	1180	848	470	326	40	41.149158584	38.5789400078
8474691	Philippe Cornet 	Left Wing	EDM	1269	0.557510701008	1.16789183952	8	17	7	6	4	0	0	0	0	0
8471402	Lennart Petrell 	Center	EDM	49417	19.7179518873	32.4188381368	373	559	190	241	244	75	53	5	4.62967096642	4.67268804647
8474693	Tomas Kubalik 	Right Wing	CBJ	9922	3.84191253409	5.3436970124	74	91	40	48	41	16	12	1	1.41714737564	1.31136118434
8470899	Triston Grant 	Left Wing	NSH	1303	0.797208020464	1.07903463021	12	15	8	5	3	2	2	0	0.0993396323174	0.141832966357
8474153	Michal Repik 	Right Wing	FLA	46327	29.601955615	23.4801832652	500	433	174	228	218	160	115	9	12.2899030391	12.1418380514
8474150	Mikael Backlund 	Center	CGY	257130	144.501808462	134.02179475	2545	2244	1015	1302	1192	789	562	40	51.5052054105	51.0584261948
8474151	Ryan McDonagh 	Defense	NYR	398551	277.400606012	232.786874347	3997	3730	1684	2149	1952	655	477	25	26.0824010521	27.235378501
8471436	Matt Hunwick 	Defense	NYR,COL,BOS,TOR	343105	192.279529004	206.336399274	3253	3433	1377	1617	1250	456	340	16	17.1543287486	18.7991610803
8474157	Max Pacioretty 	Left Wing	MTL	391790	224.950515641	203.133802726	3766	3419	1711	2045	1459	1528	1109	117	107.192144911	108.561689255
8474154	Andreas Thuresson 	Right Wing	NSH	14780	8.00401028525	9.88494670484	159	148	64	60	61	43	29	1	2.15535347909	1.91311585531
8469919	Thomas Pock 	Defense	NYI,NYR	43278	24.3784546908	29.0747230258	410	501	182	254	189	69	46	0	1.59198102914	1.65546058305
